timestamp,link,liters_str
2020-03-23 23:31:06.750326,https://cars.ksl.com/listing/6256837,I4 DOHC 16V Turbocharged
2020-03-23 23:32:35.013461,https://cars.ksl.com/listing/6256837,I4 DOHC 16V Turbocharged
2020-03-23 23:33:59.122251,https://cars.ksl.com/listing/6256837,I4 DOHC 16V Turbocharged
2020-03-23 23:35:17.885164,https://cars.ksl.com/listing/6256837,I4 DOHC 16V Turbocharged
2020-03-23 23:36:36.290166,https://cars.ksl.com/listing/6256837,I4 DOHC 16V Turbocharged
2020-03-23 23:37:51.907745,https://cars.ksl.com/listing/6256837,I4 DOHC 16V Turbocharged
2020-03-23 23:39:08.425475,https://cars.ksl.com/listing/6256837,I4 DOHC 16V Turbocharged
2020-03-23 23:40:26.063362,https://cars.ksl.com/listing/6256837,I4 DOHC 16V Turbocharged
2020-03-23 23:41:43.012152,https://cars.ksl.com/listing/6256837,I4 DOHC 16V Turbocharged
2020-03-24 01:34:29.634484,https://cars.ksl.com/listing/6257197,V6
2020-03-24 01:35:31.080297,https://cars.ksl.com/listing/6257197,V6
2020-03-24 01:36:36.138774,https://cars.ksl.com/listing/6257197,V6
2020-03-24 01:37:32.818096,https://cars.ksl.com/listing/6257197,V6
2020-03-24 01:38:36.685844,https://cars.ksl.com/listing/6257197,V6
2020-03-24 01:39:36.863151,https://cars.ksl.com/listing/6257197,V6
2020-03-24 01:40:41.002907,https://cars.ksl.com/listing/6257197,V6
2020-03-24 01:41:43.557846,https://cars.ksl.com/listing/6257197,V6
2020-03-24 01:42:49.195755,https://cars.ksl.com/listing/6257197,V6
2020-03-24 01:43:54.212967,https://cars.ksl.com/listing/6257197,V6
2020-03-24 01:45:05.115242,https://cars.ksl.com/listing/6257197,V6
2020-03-24 01:46:06.203146,https://cars.ksl.com/listing/6257197,V6
2020-03-24 01:47:05.707303,https://cars.ksl.com/listing/6257197,V6
2020-03-24 01:48:04.474624,https://cars.ksl.com/listing/6257197,V6
2020-03-24 01:49:09.657356,https://cars.ksl.com/listing/6257197,V6
2020-03-24 01:50:09.203248,https://cars.ksl.com/listing/6257197,V6
2020-03-24 06:08:56.996976,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:09:58.704164,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:11:08.633090,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:12:08.882571,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:13:10.746853,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:14:10.220087,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:15:19.467689,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:16:21.611945,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:17:23.694166,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:18:34.620074,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:19:34.866927,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:20:42.096735,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:21:52.281667,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:22:51.443144,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:23:51.550484,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:24:54.050897,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:26:01.886949,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:27:15.155168,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:28:24.483152,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:29:22.557840,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:30:24.146050,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:31:37.279659,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:32:54.022147,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:34:03.860027,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:35:18.669951,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:36:26.198168,https://cars.ksl.com/listing/6292927,V6
2020-03-24 06:37:29.213480,https://cars.ksl.com/listing/6292927,V6
2020-03-24 07:29:17.978312,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:30:22.854979,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:31:37.952151,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:32:51.175308,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:34:01.047692,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:35:17.425150,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:36:31.625998,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:37:42.329168,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:38:45.866023,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:38:58.628675,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:39:52.795152,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:40:03.387148,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:41:01.287895,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:41:12.536256,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:42:19.085318,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:42:30.643454,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:43:42.262845,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:43:51.474016,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:44:54.910698,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:45:08.740596,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:46:07.593480,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:46:21.237262,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:47:18.191078,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:47:30.895856,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:48:33.059530,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:48:46.806113,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:49:43.091152,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:49:56.426922,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:50:56.513645,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:51:12.173472,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:52:12.115713,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:52:25.167538,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:53:23.512993,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:53:37.285075,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:54:34.108738,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:54:48.390935,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:55:54.692111,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:56:06.487149,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:57:06.566346,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:57:19.313228,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:58:28.302651,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:58:39.875511,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 07:59:41.871368,https://cars.ksl.com/listing/6208810,V6
2020-03-24 07:59:50.397221,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 08:01:00.928647,https://cars.ksl.com/listing/6208810,V6
2020-03-24 08:01:14.231719,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 08:02:29.157680,https://cars.ksl.com/listing/6208810,V6
2020-03-24 08:02:42.067405,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 08:03:33.298344,https://cars.ksl.com/listing/6208810,V6
2020-03-24 08:03:45.895794,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 08:04:47.781903,https://cars.ksl.com/listing/6208810,V6
2020-03-24 08:05:01.553849,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 08:06:04.900708,https://cars.ksl.com/listing/6208810,V6
2020-03-24 08:06:16.505460,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 08:07:12.878192,https://cars.ksl.com/listing/6208810,V6
2020-03-24 08:07:28.199269,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 08:08:37.136144,https://cars.ksl.com/listing/6208810,V6
2020-03-24 08:08:54.141506,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 08:09:46.911790,https://cars.ksl.com/listing/6208810,V6
2020-03-24 08:10:03.092639,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 08:11:05.751498,https://cars.ksl.com/listing/6208810,V6
2020-03-24 08:11:18.121575,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 08:12:22.856068,https://cars.ksl.com/listing/6208810,V6
2020-03-24 08:12:33.561885,https://cars.ksl.com/listing/6208820,1.5T I4 DOHC 16V Turbocharged VTEC
2020-03-24 08:13:42.067561,https://cars.ksl.com/listing/6208810,V6
2020-03-24 08:14:54.380109,https://cars.ksl.com/listing/6208810,V6
2020-03-24 08:15:58.616007,https://cars.ksl.com/listing/6208810,V6
2020-03-24 08:17:15.898769,https://cars.ksl.com/listing/6208810,V6
2020-03-24 08:18:34.093074,https://cars.ksl.com/listing/6208810,V6
2020-03-24 08:19:40.760265,https://cars.ksl.com/listing/6208810,V6
2020-03-24 08:21:04.971271,https://cars.ksl.com/listing/6208810,V6
2020-03-24 10:30:15.713780,https://cars.ksl.com/listing/6314488,V6
2020-03-24 10:41:30.665111,https://cars.ksl.com/listing/6314488,V6
2020-03-24 10:57:35.539387,https://cars.ksl.com/listing/6314488,V6
2020-03-24 11:12:48.031764,https://cars.ksl.com/listing/6314488,V6
2020-03-24 11:14:27.060154,https://cars.ksl.com/listing/6216231,83kw Electric Motor
2020-03-24 11:18:24.830452,https://cars.ksl.com/listing/6329494,V8
2020-03-24 11:40:09.635580,https://cars.ksl.com/listing/6314488,V6
2020-03-24 11:41:52.592158,https://cars.ksl.com/listing/6216231,83kw Electric Motor
2020-03-24 11:45:42.571306,https://cars.ksl.com/listing/6329494,V8
